x	y	0.fitness	0.targets.dist.0.	0.targets.dist.1.	0.targets.dist.2.	5000.fitness	5000.targets.dist.0.	5000.targets.dist.1.	5000.targets.dist.2.	10000.fitness	10000.targets.dist.0.	10000.targets.dist.1.	10000.targets.dist.2.	15000.fitness	15000.targets.dist.0.	15000.targets.dist.1.	15000.targets.dist.2.	20000.fitness	20000.targets.dist.0.	20000.targets.dist.1.	20000.targets.dist.2.	25000.fitness	25000.targets.dist.0.	25000.targets.dist.1.	25000.targets.dist.2.	30000.fitness	30000.targets.dist.0.	30000.targets.dist.1.	30000.targets.dist.2.	40000.fitness	40000.targets.dist.0.	40000.targets.dist.1.	40000.targets.dist.2.	50000.fitness	50000.targets.dist.0.	50000.targets.dist.1.	50000.targets.dist.2.
5	13	8.800e-01	8.900e-01	8.800e-01	9.200e-01	8.400e-01	8.400e-01	8.900e-01	8.400e-01	8.300e-01	8.300e-01	8.400e-01	8.400e-01	7.100e-01	7.700e-01	7.100e-01	8.800e-01	7.000e-01	7.000e-01	7.400e-01	8.800e-01	6.100e-01	6.100e-01	8.100e-01	8.500e-01	5.600e-01	5.600e-01	8.200e-01	8.200e-01	4.300e-01	4.300e-01	7.800e-01	8.000e-01	3.100e-01	3.100e-01	7.500e-01	7.400e-01
5	14	8.800e-01	8.900e-01	8.800e-01	8.900e-01	8.200e-01	8.200e-01	8.600e-01	8.300e-01	7.200e-01	7.200e-01	8.200e-01	8.500e-01	7.100e-01	7.100e-01	8.400e-01	8.500e-01	7.100e-01	7.100e-01	8.400e-01	8.500e-01	6.800e-01	6.800e-01	8.300e-01	8.100e-01	6.300e-01	6.300e-01	8.300e-01	8.500e-01	4.300e-01	4.300e-01	8.000e-01	7.900e-01	4.000e-01	4.000e-01	7.700e-01	7.800e-01
5	15	8.600e-01	8.700e-01	8.600e-01	8.700e-01	8.200e-01	8.200e-01	8.400e-01	8.800e-01	7.700e-01	7.700e-01	8.100e-01	9.100e-01	7.200e-01	7.200e-01	8.300e-01	8.000e-01	7.200e-01	7.200e-01	8.300e-01	8.000e-01	6.700e-01	8.500e-01	6.700e-01	9.100e-01	6.000e-01	8.800e-01	6.000e-01	8.900e-01	5.400e-01	8.100e-01	5.400e-01	8.300e-01	4.700e-01	8.100e-01	4.700e-01	8.000e-01
5	16	9.400e-01	9.400e-01	9.400e-01	9.500e-01	8.200e-01	8.900e-01	8.200e-01	9.000e-01	7.800e-01	8.400e-01	7.800e-01	8.900e-01	6.900e-01	8.800e-01	6.900e-01	9.200e-01	6.700e-01	8.400e-01	6.700e-01	9.000e-01	6.200e-01	8.300e-01	6.200e-01	8.600e-01	5.900e-01	8.800e-01	5.900e-01	8.600e-01	5.300e-01	8.300e-01	5.300e-01	8.300e-01	4.500e-01	7.900e-01	4.500e-01	8.200e-01
5	17	8.500e-01	9.200e-01	8.700e-01	8.500e-01	8.100e-01	8.500e-01	8.600e-01	8.100e-01	7.700e-01	8.200e-01	8.600e-01	7.700e-01	7.400e-01	8.200e-01	8.700e-01	7.400e-01	7.300e-01	8.600e-01	8.700e-01	7.300e-01	7.100e-01	8.700e-01	8.600e-01	7.100e-01	7.000e-01	8.200e-01	7.900e-01	7.000e-01	5.900e-01	8.500e-01	5.900e-01	8.000e-01	5.000e-01	8.000e-01	5.000e-01	7.800e-01
5	18	8.800e-01	9.100e-01	9.200e-01	8.800e-01	7.900e-01	8.800e-01	8.500e-01	7.900e-01	7.700e-01	8.400e-01	8.900e-01	7.700e-01	7.400e-01	8.600e-01	8.200e-01	7.400e-01	6.800e-01	8.800e-01	7.700e-01	6.800e-01	6.400e-01	8.100e-01	7.900e-01	6.400e-01	6.200e-01	8.600e-01	7.600e-01	6.200e-01	5.700e-01	8.200e-01	7.300e-01	5.700e-01	4.900e-01	8.300e-01	7.400e-01	4.900e-01
5	19	8.500e-01	9.000e-01	8.500e-01	9.100e-01	8.200e-01	8.900e-01	8.200e-01	9.100e-01	8.100e-01	8.700e-01	8.100e-01	9.000e-01	7.400e-01	9.400e-01	7.400e-01	7.700e-01	6.800e-01	8.800e-01	7.700e-01	6.800e-01	6.600e-01	8.800e-01	7.600e-01	6.600e-01	6.400e-01	8.600e-01	7.600e-01	6.400e-01	5.500e-01	8.100e-01	7.700e-01	5.500e-01	4.700e-01	8.100e-01	7.000e-01	4.700e-01
5	20	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1	9.000e-01	9.200e-01	9.000e-01	9.200e-01	8.300e-01	8.500e-01	8.300e-01	8.600e-01	8.100e-01	8.300e-01	8.300e-01	8.100e-01	7.700e-01	8.400e-01	8.600e-01	7.700e-01	7.400e-01	8.500e-01	8.300e-01	7.400e-01	7.000e-01	8.800e-01	8.300e-01	7.000e-01	6.600e-01	8.500e-01	7.900e-01	6.600e-01	5.900e-01	8.600e-01	8.200e-01	5.900e-01	4.600e-01	8.100e-01	7.300e-01	4.600e-01
6	2	9.000e-01	9.200e-01	9.000e-01	9.000e-01	8.300e-01	8.900e-01	8.900e-01	8.300e-01	8.100e-01	8.900e-01	8.100e-01	8.400e-01	7.600e-01	8.700e-01	7.600e-01	7.900e-01	7.200e-01	8.700e-01	8.000e-01	7.200e-01	6.800e-01	8.900e-01	8.100e-01	6.800e-01	6.400e-01	8.500e-01	8.300e-01	6.400e-01	5.700e-01	8.600e-01	8.200e-01	5.700e-01	4.900e-01	8.200e-01	7.300e-01	4.900e-01
6	3	8.700e-01	8.900e-01	9.100e-01	8.700e-01	8.300e-01	8.800e-01	9.000e-01	8.300e-01	8.200e-01	8.800e-01	8.200e-01	8.700e-01	7.900e-01	7.900e-01	8.200e-01	8.600e-01	7.100e-01	8.000e-01	7.100e-01	8.700e-01	6.800e-01	8.100e-01	6.800e-01	8.600e-01	6.600e-01	8.300e-01	6.600e-01	8.300e-01	5.300e-01	8.000e-01	5.300e-01	7.700e-01	4.500e-01	7.500e-01	4.500e-01	7.700e-01
6	4	9.300e-01	9.600e-01	9.500e-01	9.300e-01	8.400e-01	8.400e-01	8.900e-01	9.100e-01	8.400e-01	8.400e-01	8.900e-01	9.100e-01	8.000e-01	8.600e-01	8.000e-01	8.900e-01	7.000e-01	8.800e-01	7.000e-01	8.200e-01	6.400e-01	7.600e-01	6.400e-01	8.200e-01	6.300e-01	7.600e-01	6.300e-01	8.200e-01	5.200e-01	7.700e-01	5.200e-01	7.800e-01	4.200e-01	8.100e-01	4.200e-01	7.600e-01
6	5	9.000e-01	9.300e-01	9.000e-01	9.500e-01	8.600e-01	8.900e-01	8.600e-01	9.200e-01	7.800e-01	8.700e-01	7.800e-01	8.500e-01	7.300e-01	8.600e-01	7.300e-01	8.700e-01	6.900e-01	8.600e-01	6.900e-01	8.200e-01	6.100e-01	8.300e-01	6.100e-01	8.500e-01	5.500e-01	8.000e-01	5.500e-01	8.000e-01	4.700e-01	8.100e-01	4.700e-01	7.600e-01	4.000e-01	7.800e-01	4.000e-01	7.400e-01
6	6	9.000e-01	9.100e-01	9.400e-01	9.000e-01	8.100e-01	8.800e-01	8.100e-01	8.900e-01	8.100e-01	8.800e-01	8.100e-01	8.900e-01	7.200e-01	8.900e-01	7.200e-01	8.400e-01	6.700e-01	8.800e-01	6.700e-01	8.300e-01	6.400e-01	8.800e-01	6.400e-01	8.300e-01	6.100e-01	8.400e-01	6.100e-01	8.200e-01	5.000e-01	8.000e-01	5.000e-01	7.600e-01	3.900e-01	7.700e-01	3.900e-01	7.500e-01
6	7	8.800e-01	8.800e-01	9.200e-01	9.000e-01	8.200e-01	8.200e-01	9.000e-01	9.000e-01	7.900e-01	7.900e-01	8.900e-01	8.800e-01	7.900e-01	7.900e-01	8.900e-01	8.800e-01	6.900e-01	8.500e-01	6.900e-01	8.100e-01	5.900e-01	8.400e-01	5.900e-01	8.400e-01	5.900e-01	8.400e-01	5.900e-01	8.400e-01	4.600e-01	8.300e-01	4.600e-01	7.700e-01	3.600e-01	7.500e-01	3.600e-01	7.400e-01
6	8	8.900e-01	8.900e-01	9.000e-01	9.200e-01	8.600e-01	8.600e-01	8.900e-01	9.100e-01	8.000e-01	8.000e-01	8.000e-01	8.600e-01	7.600e-01	8.500e-01	7.600e-01	8.500e-01	6.900e-01	8.400e-01	6.900e-01	8.700e-01	6.200e-01	8.200e-01	6.200e-01	8.300e-01	5.400e-01	7.800e-01	5.400e-01	7.800e-01	4.600e-01	7.800e-01	4.600e-01	7.500e-01	4.000e-01	7.600e-01	4.000e-01	7.500e-01
6	9	8.900e-01	8.900e-01	9.300e-01	8.900e-01	8.600e-01	8.600e-01	9.300e-01	8.900e-01	8.000e-01	8.000e-01	8.500e-01	8.600e-01	7.700e-01	7.700e-01	8.100e-01	8.400e-01	7.000e-01	8.300e-01	7.000e-01	8.500e-01	5.900e-01	8.400e-01	5.900e-01	8.000e-01	5.700e-01	8.200e-01	5.700e-01	8.200e-01	4.600e-01	7.900e-01	4.600e-01	7.500e-01	4.100e-01	7.700e-01	4.100e-01	7.500e-01
6	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	11	8.500e-01	8.800e-01	8.500e-01	9.100e-01	7.800e-01	8.700e-01	7.800e-01	8.600e-01	7.600e-01	7.600e-01	8.300e-01	8.500e-01	7.600e-01	7.600e-01	8.300e-01	8.500e-01	6.500e-01	6.500e-01	8.400e-01	8.300e-01	6.500e-01	6.500e-01	8.400e-01	8.300e-01	5.100e-01	5.100e-01	8.000e-01	8.500e-01	4.300e-01	4.300e-01	8.200e-01	8.100e-01	3.900e-01	3.900e-01	8.100e-01	7.800e-01
6	12	8.900e-01	8.900e-01	9.200e-01	9.500e-01	8.300e-01	8.300e-01	8.500e-01	8.700e-01	7.800e-01	7.800e-01	8.400e-01	8.700e-01	7.400e-01	7.400e-01	8.300e-01	8.500e-01	6.900e-01	6.900e-01	8.700e-01	8.200e-01	6.300e-01	6.300e-01	8.300e-01	8.500e-01	5.000e-01	5.000e-01	8.000e-01	8.300e-01	4.400e-01	4.400e-01	8.000e-01	8.000e-01	3.400e-01	3.400e-01	7.700e-01	7.500e-01
6	13	8.600e-01	8.600e-01	8.800e-01	9.100e-01	8.000e-01	8.000e-01	8.900e-01	9.000e-01	7.900e-01	7.900e-01	9.000e-01	8.800e-01	7.600e-01	7.600e-01	8.500e-01	8.600e-01	7.100e-01	7.100e-01	8.600e-01	8.400e-01	5.900e-01	5.900e-01	8.000e-01	8.400e-01	5.600e-01	5.600e-01	8.100e-01	8.200e-01	4.600e-01	4.600e-01	7.700e-01	7.800e-01	3.500e-01	3.500e-01	7.400e-01	7.800e-01
6	14	8.800e-01	9.200e-01	8.800e-01	9.000e-01	8.400e-01	8.600e-01	8.400e-01	9.100e-01	8.100e-01	8.300e-01	8.100e-01	9.200e-01	7.200e-01	7.800e-01	7.200e-01	9.000e-01	6.800e-01	6.800e-01	7.700e-01	8.300e-01	6.600e-01	6.600e-01	8.400e-01	8.200e-01	6.300e-01	6.300e-01	8.600e-01	8.300e-01	4.500e-01	4.500e-01	8.000e-01	8.200e-01	4.000e-01	4.000e-01	7.600e-01	8.300e-01
6	15	9.300e-01	9.300e-01	9.500e-01	9.600e-01	8.200e-01	8.700e-01	8.200e-01	9.600e-01	7.700e-01	7.700e-01	7.700e-01	9.200e-01	6.700e-01	8.100e-01	6.700e-01	8.800e-01	6.700e-01	8.100e-01	6.700e-01	8.800e-01	6.600e-01	8.200e-01	6.600e-01	8.800e-01	6.200e-01	8.500e-01	6.200e-01	8.600e-01	5.400e-01	8.200e-01	5.400e-01	8.300e-01	4.500e-01	8.000e-01	4.500e-01	8.100e-01
6	16	9.000e-01	9.500e-01	9.000e-01	9.300e-01	8.100e-01	8.900e-01	8.100e-01	9.200e-01	7.200e-01	8.600e-01	7.200e-01	9.000e-01	7.000e-01	8.800e-01	7.000e-01	9.100e-01	6.800e-01	8.700e-01	6.800e-01	9.100e-01	6.300e-01	8.500e-01	6.300e-01	8.700e-01	5.900e-01	8.300e-01	5.900e-01	8.700e-01	5.200e-01	8.500e-01	5.200e-01	8.500e-01	4.800e-01	7.900e-01	4.800e-01	8.300e-01
6	17	8.700e-01	9.100e-01	8.700e-01	8.900e-01	8.400e-01	8.900e-01	8.400e-01	9.200e-01	7.200e-01	8.300e-01	7.200e-01	9.100e-01	6.900e-01	8.200e-01	6.900e-01	8.900e-01	6.800e-01	8.300e-01	6.800e-01	8.600e-01	6.400e-01	8.400e-01	6.400e-01	8.500e-01	5.900e-01	8.400e-01	5.900e-01	8.400e-01	5.600e-01	8.500e-01	5.600e-01	8.400e-01	5.000e-01	8.400e-01	5.000e-01	8.000e-01
6	18	8.600e-01	9.100e-01	9.000e-01	8.600e-01	8.100e-01	8.700e-01	8.100e-01	8.500e-01	7.600e-01	8.600e-01	7.600e-01	8.800e-01	7.000e-01	8.600e-01	7.000e-01	8.800e-01	6.600e-01	7.900e-01	6.600e-01	8.500e-01	6.600e-01	7.900e-01	6.600e-01	8.500e-01	6.600e-01	7.900e-01	6.600e-01	8.500e-01	6.000e-01	7.900e-01	6.000e-01	8.200e-01	4.800e-01	8.300e-01	4.800e-01	8.200e-01
6	19	8.900e-01	9.000e-01	8.900e-01	8.900e-01	8.700e-01	9.300e-01	9.100e-01	8.700e-01	7.800e-01	8.100e-01	7.800e-01	7.800e-01	6.800e-01	8.000e-01	7.800e-01	6.800e-01	6.700e-01	7.900e-01	7.800e-01	6.700e-01	6.600e-01	8.400e-01	7.600e-01	6.600e-01	6.400e-01	8.500e-01	7.600e-01	6.400e-01	5.400e-01	8.200e-01	7.800e-01	5.400e-01	4.600e-01	8.200e-01	7.300e-01	4.600e-01
6	20	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1	9.200e-01	9.300e-01	9.200e-01	9.200e-01	8.400e-01	8.400e-01	8.900e-01	8.700e-01	7.900e-01	8.800e-01	8.400e-01	7.900e-01	7.500e-01	8.600e-01	8.300e-01	7.500e-01	6.900e-01	8.400e-01	8.400e-01	6.900e-01	6.500e-01	8.200e-01	8.200e-01	6.500e-01	6.400e-01	8.200e-01	8.100e-01	6.400e-01	5.400e-01	8.500e-01	7.700e-01	5.400e-01	4.800e-01	8.200e-01	7.100e-01	4.800e-01
7	2	8.900e-01	8.900e-01	9.300e-01	9.200e-01	8.200e-01	8.800e-01	8.700e-01	8.200e-01	8.000e-01	9.000e-01	8.700e-01	8.000e-01	7.100e-01	8.800e-01	8.300e-01	7.100e-01	6.800e-01	8.600e-01	8.100e-01	6.800e-01	6.500e-01	8.500e-01	8.400e-01	6.500e-01	6.100e-01	8.700e-01	8.500e-01	6.100e-01	5.600e-01	8.600e-01	8.000e-01	5.600e-01	4.500e-01	8.000e-01	7.700e-01	4.500e-01
7	3	9.100e-01	9.500e-01	9.500e-01	9.100e-01	8.400e-01	9.000e-01	9.000e-01	8.400e-01	8.100e-01	8.900e-01	8.500e-01	8.100e-01	7.700e-01	9.200e-01	8.400e-01	7.700e-01	6.400e-01	8.500e-01	8.300e-01	6.400e-01	6.400e-01	8.500e-01	8.300e-01	6.400e-01	6.300e-01	8.600e-01	8.500e-01	6.300e-01	5.500e-01	8.700e-01	8.100e-01	5.500e-01	4.400e-01	8.000e-01	7.200e-01	4.400e-01
7	4	9.000e-01	9.100e-01	9.300e-01	9.000e-01	8.300e-01	8.800e-01	8.700e-01	8.300e-01	8.100e-01	8.900e-01	8.100e-01	8.300e-01	7.400e-01	8.800e-01	7.400e-01	8.500e-01	7.400e-01	8.800e-01	7.400e-01	8.500e-01	7.000e-01	8.800e-01	7.000e-01	8.100e-01	6.100e-01	8.400e-01	6.100e-01	7.900e-01	5.200e-01	8.000e-01	5.200e-01	8.100e-01	4.400e-01	8.500e-01	4.400e-01	7.300e-01
7	5	8.700e-01	8.700e-01	8.800e-01	9.100e-01	8.700e-01	8.700e-01	8.800e-01	9.100e-01	8.100e-01	8.800e-01	8.100e-01	8.600e-01	6.600e-01	8.600e-01	6.600e-01	8.100e-01	6.600e-01	8.600e-01	6.600e-01	8.100e-01	6.500e-01	8.400e-01	6.500e-01	8.400e-01	6.400e-01	8.300e-01	6.400e-01	8.400e-01	4.600e-01	8.000e-01	4.600e-01	7.500e-01	3.900e-01	7.700e-01	3.900e-01	7.600e-01
7	6	9.000e-01	9.000e-01	9.800e-01	9.500e-01	8.300e-01	8.800e-01	8.300e-01	9.000e-01	7.600e-01	8.900e-01	7.600e-01	8.400e-01	7.300e-01	8.700e-01	7.300e-01	8.800e-01	6.700e-01	8.300e-01	6.700e-01	8.500e-01	6.400e-01	8.300e-01	6.400e-01	8.500e-01	5.800e-01	8.100e-01	5.800e-01	8.100e-01	4.300e-01	7.600e-01	4.300e-01	7.800e-01	3.900e-01	7.800e-01	3.900e-01	7.200e-01
7	7	8.000e-01	9.200e-01	8.000e-01	9.000e-01	7.900e-01	9.100e-01	7.900e-01	9.000e-01	7.300e-01	8.900e-01	7.300e-01	9.000e-01	6.900e-01	8.600e-01	6.900e-01	8.400e-01	6.600e-01	8.200e-01	6.600e-01	8.500e-01	6.100e-01	8.400e-01	6.100e-01	8.400e-01	5.700e-01	8.200e-01	5.700e-01	8.200e-01	4.900e-01	7.800e-01	4.900e-01	7.100e-01	4.100e-01	7.800e-01	4.100e-01	7.800e-01
7	8	8.500e-01	8.500e-01	9.300e-01	9.100e-01	8.200e-01	8.800e-01	8.200e-01	8.900e-01	7.900e-01	8.900e-01	7.900e-01	8.900e-01	6.900e-01	8.600e-01	6.900e-01	8.800e-01	6.600e-01	8.600e-01	6.600e-01	8.400e-01	5.800e-01	8.400e-01	5.800e-01	8.200e-01	5.600e-01	8.300e-01	5.600e-01	8.200e-01	4.600e-01	7.800e-01	4.600e-01	7.500e-01	4.100e-01	7.700e-01	4.100e-01	7.400e-01
7	9	8.500e-01	9.300e-01	8.500e-01	9.100e-01	8.300e-01	9.400e-01	8.300e-01	9.100e-01	8.200e-01	9.400e-01	8.200e-01	9.100e-01	7.000e-01	8.900e-01	7.000e-01	8.700e-01	6.700e-01	8.500e-01	6.700e-01	8.900e-01	6.200e-01	8.300e-01	6.200e-01	8.300e-01	5.600e-01	8.100e-01	5.600e-01	8.400e-01	4.500e-01	7.800e-01	4.500e-01	7.600e-01	3.900e-01	7.600e-01	3.900e-01	7.600e-01
7	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	11	8.900e-01	8.900e-01	9.100e-01	8.900e-01	8.700e-01	9.400e-01	8.700e-01	8.800e-01	7.800e-01	7.800e-01	8.100e-01	8.300e-01	7.800e-01	7.800e-01	8.100e-01	8.300e-01	7.200e-01	7.200e-01	8.200e-01	8.800e-01	5.900e-01	5.900e-01	8.000e-01	8.400e-01	5.900e-01	5.900e-01	8.000e-01	8.400e-01	4.700e-01	4.700e-01	8.200e-01	8.000e-01	3.900e-01	3.900e-01	7.600e-01	7.600e-01
7	12	8.400e-01	8.400e-01	9.100e-01	9.200e-01	8.400e-01	8.400e-01	9.100e-01	9.200e-01	8.300e-01	8.300e-01	9.100e-01	9.100e-01	7.400e-01	7.400e-01	8.300e-01	8.800e-01	6.600e-01	6.600e-01	8.700e-01	8.600e-01	6.300e-01	6.300e-01	8.500e-01	8.600e-01	5.600e-01	5.600e-01	8.400e-01	8.200e-01	4.800e-01	4.800e-01	8.200e-01	8.000e-01	3.800e-01	3.800e-01	7.400e-01	8.000e-01
7	13	8.400e-01	9.100e-01	8.400e-01	8.800e-01	8.200e-01	8.900e-01	8.200e-01	8.600e-01	7.500e-01	7.500e-01	8.400e-01	8.700e-01	7.200e-01	7.200e-01	8.600e-01	8.600e-01	6.800e-01	6.800e-01	8.800e-01	8.500e-01	5.800e-01	5.800e-01	8.400e-01	8.200e-01	5.800e-01	5.800e-01	8.400e-01	8.200e-01	4.700e-01	4.700e-01	8.300e-01	8.000e-01	4.100e-01	4.100e-01	8.000e-01	8.200e-01
7	14	8.900e-01	8.900e-01	9.100e-01	8.900e-01	8.000e-01	8.400e-01	8.000e-01	8.300e-01	7.600e-01	7.600e-01	7.800e-01	9.100e-01	7.200e-01	7.200e-01	7.900e-01	8.900e-01	6.900e-01	6.900e-01	7.900e-01	8.300e-01	6.800e-01	6.800e-01	8.200e-01	8.400e-01	6.300e-01	6.300e-01	8.000e-01	8.200e-01	4.700e-01	4.700e-01	7.900e-01	7.700e-01	4.100e-01	4.100e-01	7.500e-01	7.900e-01
7	15	8.800e-01	9.200e-01	8.800e-01	9.100e-01	7.700e-01	8.600e-01	8.300e-01	7.700e-01	7.600e-01	8.600e-01	8.200e-01	7.600e-01	7.200e-01	7.200e-01	8.500e-01	8.300e-01	6.900e-01	6.900e-01	8.400e-01	8.100e-01	6.800e-01	6.800e-01	8.500e-01	8.000e-01	5.700e-01	5.700e-01	8.500e-01	7.800e-01	5.200e-01	5.200e-01	8.000e-01	7.800e-01	4.500e-01	4.500e-01	8.100e-01	8.000e-01
7	16	9.100e-01	9.500e-01	9.100e-01	9.800e-01	8.300e-01	9.000e-01	8.300e-01	9.100e-01	7.600e-01	8.400e-01	7.600e-01	9.100e-01	7.300e-01	7.300e-01	8.500e-01	8.600e-01	7.200e-01	7.200e-01	8.500e-01	8.600e-01	6.700e-01	6.700e-01	8.100e-01	8.100e-01	6.600e-01	6.600e-01	7.700e-01	8.200e-01	5.400e-01	8.100e-01	5.400e-01	8.300e-01	4.800e-01	8.100e-01	4.800e-01	8.300e-01
7	17	8.200e-01	9.000e-01	8.200e-01	9.400e-01	7.600e-01	8.600e-01	7.600e-01	9.100e-01	7.400e-01	8.800e-01	7.400e-01	9.100e-01	7.100e-01	8.500e-01	7.100e-01	8.600e-01	6.800e-01	8.500e-01	6.800e-01	8.500e-01	6.300e-01	7.900e-01	6.300e-01	8.300e-01	6.100e-01	8.000e-01	6.100e-01	8.400e-01	5.800e-01	8.100e-01	5.800e-01	8.300e-01	4.800e-01	8.100e-01	4.800e-01	7.900e-01
7	18	9.000e-01	9.200e-01	9.600e-01	9.000e-01	8.500e-01	9.200e-01	9.100e-01	8.500e-01	7.400e-01	8.200e-01	7.400e-01	9.000e-01	6.800e-01	8.000e-01	6.800e-01	8.500e-01	6.800e-01	8.000e-01	6.800e-01	8.500e-01	6.600e-01	8.000e-01	6.600e-01	8.700e-01	6.400e-01	8.000e-01	6.400e-01	8.600e-01	6.200e-01	8.100e-01	6.200e-01	8.400e-01	5.300e-01	8.300e-01	5.300e-01	8.500e-01
7	19	8.900e-01	8.900e-01	9.200e-01	8.900e-01	8.000e-01	8.600e-01	8.400e-01	8.000e-01	7.600e-01	8.400e-01	8.400e-01	7.600e-01	7.400e-01	8.100e-01	7.900e-01	7.400e-01	6.400e-01	8.300e-01	7.900e-01	6.400e-01	6.400e-01	8.300e-01	7.900e-01	6.400e-01	6.200e-01	8.200e-01	7.800e-01	6.200e-01	5.500e-01	8.200e-01	7.900e-01	5.500e-01	4.200e-01	7.600e-01	7.100e-01	4.200e-01
7	20	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	1	8.700e-01	8.700e-01	8.900e-01	8.900e-01	8.100e-01	8.100e-01	8.900e-01	8.700e-01	7.500e-01	7.500e-01	8.400e-01	8.000e-01	7.300e-01	7.300e-01	8.300e-01	8.000e-01	7.300e-01	7.300e-01	8.300e-01	8.000e-01	6.500e-01	8.800e-01	8.500e-01	6.500e-01	6.300e-01	8.700e-01	8.400e-01	6.300e-01	4.900e-01	8.200e-01	7.500e-01	4.900e-01	3.800e-01	7.900e-01	7.300e-01	3.800e-01
8	2	8.800e-01	9.100e-01	9.100e-01	8.800e-01	8.100e-01	9.000e-01	8.700e-01	8.100e-01	7.900e-01	8.900e-01	8.700e-01	7.900e-01	7.400e-01	8.700e-01	8.700e-01	7.400e-01	7.000e-01	8.300e-01	8.100e-01	7.000e-01	6.500e-01	8.600e-01	8.400e-01	6.500e-01	6.400e-01	8.700e-01	8.400e-01	6.400e-01	4.900e-01	8.100e-01	7.500e-01	4.900e-01	4.600e-01	8.000e-01	7.800e-01	4.600e-01
8	3	8.900e-01	9.000e-01	9.000e-01	8.900e-01	8.300e-01	8.300e-01	9.200e-01	8.800e-01	8.000e-01	8.000e-01	9.000e-01	8.500e-01	7.300e-01	8.400e-01	8.800e-01	7.300e-01	6.600e-01	8.400e-01	8.500e-01	6.600e-01	6.300e-01	8.500e-01	8.500e-01	6.300e-01	6.300e-01	8.500e-01	8.500e-01	6.300e-01	5.200e-01	8.000e-01	8.400e-01	5.200e-01	4.800e-01	8.200e-01	7.700e-01	4.800e-01
8	4	8.500e-01	9.200e-01	8.800e-01	8.500e-01	8.300e-01	9.100e-01	8.700e-01	8.300e-01	7.700e-01	8.800e-01	8.500e-01	7.700e-01	7.600e-01	8.800e-01	8.500e-01	7.600e-01	6.900e-01	8.300e-01	8.600e-01	6.900e-01	6.400e-01	8.500e-01	8.500e-01	6.400e-01	6.100e-01	8.400e-01	8.100e-01	6.100e-01	5.200e-01	8.000e-01	8.200e-01	5.200e-01	4.500e-01	8.100e-01	7.700e-01	4.500e-01
8	5	8.300e-01	8.500e-01	8.300e-01	8.800e-01	8.100e-01	8.100e-01	8.500e-01	8.700e-01	8.000e-01	8.000e-01	8.500e-01	8.700e-01	6.900e-01	8.400e-01	6.900e-01	8.500e-01	6.800e-01	8.400e-01	6.800e-01	8.400e-01	6.200e-01	8.400e-01	6.200e-01	8.100e-01	5.700e-01	8.600e-01	5.700e-01	7.900e-01	4.500e-01	7.900e-01	4.500e-01	7.800e-01	3.600e-01	7.900e-01	3.600e-01	7.500e-01
8	6	8.700e-01	9.400e-01	8.700e-01	9.500e-01	8.100e-01	8.100e-01	8.300e-01	9.000e-01	7.900e-01	8.300e-01	7.900e-01	8.700e-01	6.700e-01	8.400e-01	6.700e-01	8.100e-01	6.400e-01	8.400e-01	6.400e-01	8.200e-01	6.200e-01	8.300e-01	6.200e-01	8.100e-01	5.700e-01	8.400e-01	5.700e-01	7.900e-01	4.400e-01	7.800e-01	4.400e-01	7.800e-01	4.000e-01	7.600e-01	4.000e-01	7.700e-01
